gsc_reason,url,last_crawled,http_status,final_url,content_type,canonical,robots_signal,in_sitemap,internal_referrer_count,source_reference,classification,recommended_action,confidence
Crawled - currently not indexed,https://poshaktaranom.ir/api/,2026-08-24-export,404,https://www.poshaktaranom.ir/api/,application/json,,x-robots-tag noindex nofollow,no,0,nginx /api/ + robots Disallow /api/,KEEP_AS_IS,leave JSON 404; do not redirect to HTML,high
Crawled - currently not indexed,https://poshaktaranom.ir/blog/feed/,2026-08-24-export,410,https://www.poshaktaranom.ir/blog/feed,text/html,,x-robots-tag noindex,no,0,middleware isLegacyFeedPath; current RSS is /blog/feed.xml,410_GONE,KEEP 410; do not 301 to unrelated HTML,high
Not found (404),https://www.poshaktaranom.ir/_next/static/media/c098cac0448557e8.p.woff2,2026-08-24-export,404,same,text/plain,,,no,0,no current source hash; historic next/font build,KEEP_AS_IS,HISTORIC_BUILD_ASSET_404 do not redirect hashed assets,high
Not found (404),https://www.poshaktaranom.ir/_next/static/media/831abf37d56e5f7d.p.woff2,2026-08-24-export,404,same,text/plain,,,no,0,no current source hash,KEEP_AS_IS,HISTORIC_BUILD_ASSET_404,high
Not found (404),https://www.poshaktaranom.ir/_next/static/media/6041bf25671dbd43.p.woff2,2026-08-24-export,404,same,text/plain,,,no,0,no current source hash,KEEP_AS_IS,HISTORIC_BUILD_ASSET_404,high
Not found (404),https://www.poshaktaranom.ir/_next/static/media/f94d05c93b9a3732.p.woff2,2026-08-24-export,404,same,text/plain,,,no,0,no current source hash,KEEP_AS_IS,HISTORIC_BUILD_ASSET_404,high
Not found (404),https://www.poshaktaranom.ir/productsجدیدترین‌ها,2026-08-24-export,404,same,text/html,,noindex,no,0,RetailFooter COLS href=/products + label=جدیدترین‌ها used as React key,KEEP_AS_IS,404 accidental garbage; generator key fixed; no 301,high
Not found (404),https://www.poshaktaranom.ir/contactتماس,2026-08-24-export,404,same,text/html,,noindex,no,0,RetailFooter href=/contact + label=تماس as React key,KEEP_AS_IS,404 accidental garbage; generator key fixed,high
Not found (404),https://www.poshaktaranom.ir/shippingارسال,2026-08-24-export,404,same,text/html,,noindex,no,0,RetailFooter href=/shipping + label=ارسال as React key,KEEP_AS_IS,404 accidental garbage; generator key fixed,high
Not found (404),https://www.poshaktaranom.ir/&,2026-08-24-export,404,same,text/html,,noindex,no,0,no href=/& in source; home substring hit is false positive,KEEP_AS_IS,404 accidental garbage; no 301,medium
Not found (404),https://www.poshaktaranom.ir/collectionsکلکسیون‌ها,2026-08-24-export,404,same,text/html,,noindex,no,0,RetailFooter href=/collections + label=کلکسیون‌ها as React key,KEEP_AS_IS,404 accidental garbage; generator key fixed,high
Not found (404),https://www.poshaktaranom.ir/productsمانتو,2026-08-24-export,404,same,text/html,,noindex,no,0,RetailFooter href=/products + label=مانتو as React key (not a category URL),KEEP_AS_IS,404 accidental garbage; generator key fixed,high
Not found (404),https://www.poshaktaranom.ir/$,2026-08-24-export,404,same,text/html,,noindex,no,0,no href=/$ in source,KEEP_AS_IS,404 accidental garbage; no 301,medium
Not found (404),https://www.poshaktaranom.ir/tag/2%20%D8%B3%D8%A7%DB%8C%D8%B2/,2026-08-24-export,404,https://www.poshaktaranom.ir/tag/2%20%D8%B3%D8%A7%DB%8C%D8%B2,text/html,,noindex,no,0,legacy WP tag; current tags are /blog/tag/{slug},KEEP_AS_IS,404 no exact current tag proven,high
Not found (404),https://www.poshaktaranom.ir/category/17/کت-کتان/,2026-08-24-export,404,slash-stripped,text/html,,noindex,no,0,WP category 17; could be women-coats or cotton-collection,KEEP_AS_IS,do not guess; retain 404,high
Not found (404),encoded /tag/... (incomplete GSC paste),2026-08-24-export,n/a,n/a,n/a,n/a,n/a,n/a,n/a,brief listed encoded /tag/... without exact path,UNKNOWN_REQUIRES_REVIEW,do not invent URL,high
Not found (404),https://www.poshaktaranom.ir/product/152/مانتو-شومیزی-ترگل/?vid=1234,2026-08-24-export,410,slash-stripped + query kept on 410,text/html,,x-robots-tag noindex,no,0,middleware GONE /product/; ترگل not in current catalog export,410_GONE,KEEP 410 no replacement,high
Not found (404),https://www.poshaktaranom.ir/page/3/تماس-با-ما/,2026-08-24-export,404,slash-stripped,text/html,,noindex,no,0,legacy WP page; current /contact exists but this is a paginated WP path not proven same,KEEP_AS_IS,retain 404; do not 301 /page/3 to /contact,medium
Not found (404),https://www.poshaktaranom.ir/product/151/مانتو-شومیزی-ساغر/?vid=1221,2026-08-24-export,410,410 HTML,text/html,,x-robots-tag noindex,no,0,ساغر not in current catalog export,410_GONE,KEEP 410,high
Not found (404),https://www.poshaktaranom.ir/category/20/,2026-08-24-export,200-soft-404 for non-bot (Google 404),https://www.poshaktaranom.ir/category/20,text/html,,noindex,no,0,sibling GSC URL /category/20/شلوار + current women-pants,301_TO_EXACT_EQUIVALENT,301 /category/women-pants (repo; not live yet),high
Not found (404),https://www.poshaktaranom.ir/category/10,2026-08-24-export,200-soft-404 for non-bot (Google 404),same,text/html,,noindex,no,0,numeric WP id with no name in URL; no mapping,KEEP_AS_IS,retain 404; do not guess,high
Not found (404),https://www.poshaktaranom.ir/product/160/مانتو-شومیزی-سهند/?vid=1291,2026-08-24-export,410,410 HTML,text/html,,x-robots-tag noindex,no,0,سهند not in current catalog export,410_GONE,KEEP 410,high
Not found (404),https://www.poshaktaranom.ir/product/161/شلوار-ماهین/?vid=1299,2026-08-24-export,410,410 HTML,text/html,,x-robots-tag noindex,no,0,unique current product شلوار مازراتی مدل ماهین /products/maserati-pants-mahin,301_TO_EXACT_EQUIVALENT,301 /products/maserati-pants-mahin strip query (repo; not live yet),high
Not found (404),https://www.poshaktaranom.ir/category/20,2026-08-24-export,200-soft-404 for non-bot (Google 404),same,text/html,,noindex,no,0,same identity as /category/20/شلوار,301_TO_EXACT_EQUIVALENT,301 /category/women-pants,high
Not found (404),https://www.poshaktaranom.ir/cert-logo/1/,2026-08-24-export,404,slash-stripped,text/html,,noindex,no,0,legacy certificate asset; Enamad is current,KEEP_AS_IS,retain 404,high
Not found (404),https://www.poshaktaranom.ir/category/20/شلوار/,2026-08-24-export,404,slash-stripped,text/html,,noindex,no,0,path slug شلوار = current category women-pants,301_TO_EXACT_EQUIVALENT,301 /category/women-pants,high
Not found (404),https://www.poshaktaranom.ir/blog/معرفی/P52-اپل-واچ-3-معرفی-شد.html,2026-08-24-export,404,same,text/html,,noindex,no,0,irrelevant historic WP post not in current blog,KEEP_AS_IS,retain 404/410-class junk; no 301,high
Not found (404),https://www.poshaktaranom.ir/a-b-c-d/,2026-08-24-export,404,slash-stripped,text/html,,noindex,no,0,test/junk path,KEEP_AS_IS,retain 404,high
Not found (404),https://www.poshaktaranom.ir/static/bEHf0138/2.0.0/,2026-08-24-export,404,slash-stripped,text/html,,noindex,no,0,old static artifact,KEEP_AS_IS,retain 404,high
Not found (404),https://www.poshaktaranom.ir/static/bEHf0137/2.0.0/,2026-08-24-export,404,slash-stripped,text/html,,noindex,no,0,old static artifact,KEEP_AS_IS,retain 404,high
Not found (404),https://www.poshaktaranom.ir/static/bEHf0136/2.0.0/,2026-08-24-export,404,slash-stripped,text/html,,noindex,no,0,old static artifact,KEEP_AS_IS,retain 404,high
Not found (404),https://www.poshaktaranom.ir/product/59,2026-08-24-export,410,same,text/html,,x-robots-tag noindex,no,0,WP id 59; no name; not in current catalog,410_GONE,KEEP 410,high
Duplicate without user-selected canonical,https://poshaktaranom.ir/blog/31-معرفی/feed/,2026-08-24-export,410,https://www.poshaktaranom.ir/blog/31-معرفی/feed,text/html,,x-robots-tag noindex,no,0,WP category feed; not /blog/feed.xml,410_GONE,KEEP 410; do not canonicalize to unrelated page,high
Blocked by robots.txt,https://www.poshaktaranom.ir/account,2026-08-24-export,200,same,text/html,,meta noindex nofollow; robots Disallow /account,no,1,robots.ts + retail/account/layout.tsx,ROBOTS_EXPECTED,PRIVATE keep block,high
403,https://poshaktaranom.ir/uploads/,2026-08-24-export,410,https://www.poshaktaranom.ir/uploads,text/html,,x-robots-tag noindex,no,0,middleware GONE_PREFIXES /uploads/,KEEP_AS_IS,KEEP_AS_IS_PRIVATE_DIRECTORY; GSC 403 stale vs live 410,high
Discovered - currently not indexed,(empty export table),2026-08-24-export,n/a,n/a,n/a,n/a,n/a,n/a,n/a,empty GSC table,CURRENTLY_RESOLVED,NO_ACTION,high
